Age	MR_high	MR_low
0	0.004380303	0.00244583
1	0.001268421	0.000708562
2	0.000995502	0.000556144
3	0.000724879	0.000405015
4	0.000477655	0.000266941
5	0.000274936	0.000153706
6	0.000137817	7.711E-05
7	8.74244E-05	4.89623E-05
8	8.8808E-05	4.97494E-05
9	9.27457E-05	5.19703E-05
10	9.8951E-05	5.54498E-05
11	0.000107138	6.00106E-05
12	0.000116982	6.54768E-05
13	0.000142684	7.9893E-05
14	0.000190517	0.000107009
15	0.000247821	0.000140207
16	0.000301945	0.000172877
17	0.000341619	0.000198435
18	0.00037267	0.000219134
19	0.000407066	0.000239884
20	0.000441215	0.000258046
21	0.000467971	0.000270994
22	0.000480805	0.000276219
23	0.000480778	0.000274362
24	0.000473877	0.000269241
25	0.000464293	0.000263057
26	0.00045592	0.000258038
27	0.000453499	0.000256327
28	0.000458656	0.000259276
29	0.000470431	0.000266274
30	0.000488074	0.000276606
31	0.000511055	0.000289897
32	0.000537792	0.000305125
33	0.000580723	0.000328692
34	0.000648723	0.000365253
35	0.000735713	0.000411397
36	0.000835594	0.000463659
37	0.000940377	0.000518662
38	0.001054785	0.000580206
39	0.00118471	0.00065277
40	0.001325754	0.000734027
41	0.001474678	0.00082069
42	0.001629277	0.000910918
43	0.001792597	0.001004373
44	0.00197202	0.001103728
45	0.002172477	0.001211291
46	0.002397637	0.00132953
47	0.002650116	0.001460701
48	0.002944751	0.001614402
49	0.003282198	0.001793104
50	0.003653302	0.001988301
51	0.003931153	0.00219297
52	0.004294107	0.002397719
53	0.004639711	0.002593601
54	0.004978938	0.002786864
55	0.005337717	0.002992257
56	0.005741854	0.003221845
57	0.006217	0.003492831
58	0.006786257	0.003822275
59	0.007462677	0.004220667
60	0.008256547	0.004694109
61	0.009177917	0.005248105
62	0.010236615	0.005882835
63	0.011660383	0.006713071
64	0.013534366	0.007768113
65	0.015651396	0.008918981
66	0.017797587	0.010039204
67	0.019753529	0.0110342
68	0.021409744	0.011892636
69	0.022922965	0.012787869
70	0.024468995	0.013821235
71	0.026214593	0.015010474
72	0.028315583	0.016410345
73	0.030887638	0.018148094
74	0.033942221	0.020250829
75	0.037482524	0.022714097
76	0.041540565	0.02551584
77	0.046183208	0.02868686
78	0.05362701	0.033383457
79	0.064405352	0.039852625
80	0.076146452	0.046713798
81	0.086510242	0.052671303
82	0.093159929	0.056380482
83	0.096296866	0.058185953
84	0.098293917	0.05953369
85	0.100095983	0.060826544
86	0.102653344	0.062492613
87	0.106929331	0.064890451
88	0.117145831	0.070630915
89	0.135359715	0.08102908
90	0.159340092	0.094635867
91	0.186929139	0.110086029
92	0.216060822	0.126123614
93	0.249508352	0.144081162
94	0.290537018	0.165791014
95	0.337777607	0.190696118
96	0.389730664	0.218146683
97	0.444827081	0.24751747
98	0.503802794	0.27935997
99	0.568296276	0.314524732
